"Relative Time","Throughput"
"00:00","0"
"00:08","2383"
"00:16","2384"
"00:24","0"
"00:32","2384.5"
"00:40","0"
"00:48","0"
"00:56","0"
"01:04","1395"
"01:12","0"
"01:20","1400"
"01:28","1395"
"01:36","0"
"01:44","0"
"01:52","0"
"02:00","976.875"
"02:08","0"
"02:16","972.875"
"02:24","0"
"02:32","976.875"
"02:40","0"
"02:48","0"
"02:56","0"
"03:04","810.875"
"03:12","855.875"
"03:20","0"
"03:28","889.375"
"03:36","1108"
"03:44","0"
"03:52","1108.5"
"04:00","0"
"04:08","1105"
"04:16","0"
"04:24","0"
"04:32","0"
"04:40","0"
"04:48","386.875"
"04:56","0"
"05:04","387.875"
"05:12","838.375"
"05:20","390.375"
"05:28","468.5"
"05:36","0"
"05:44","3752"
