"Relative Time","Action_Transaction","vuser_end_Transaction","vuser_init_Transaction"
"00:00","","","2.08"
"00:16","","","2.124"
"00:32","","","5.131"
"00:40","","","2.073"
"00:56","0.729","","2.142"
"01:12","0.719","",""
"01:28","0.729","",""
"01:44","0.726","",""
"01:52","2.363","",""
"02:00","0.716","",""
"02:08","2.374","",""
"02:32","5.817","",""
"02:40","2.298","",""
"02:56","2.388","",""
"03:12","2.369","",""
"03:36","3.839","",""
"03:44","8.027","",""
"03:52","2.424","0",""
"04:08","2.361","0",""
"04:32","2.394","0",""
"04:40","","0",""
"04:56","2.344","",""
"05:52","2.409","0",""
